mentor_id,skills,social_problems,personal_background
1,"Considering my professional experience, I can contribute with any public interactions that the startups have to deal, such as licensing, taxation or public funding. Also, if the area of the company underpins with participatory actions (policies, development, social business), I believe that my backgrounds can help a new point of view about their practices. 

Furthermore, my specialisation in business management allows me to give advice in any area related to strategy, basic finances and human resources management, canvas, business plan, etc. To finish, the development of my Masters already permits me support any company that works with sustainability, energy and related areas.  ","Sustainability and public policies. I really believe that we need to improve our process, independent of which sector the company is focused. We have a huge opportunity to do more using less, amplifying the quality of the services and how we interact with our natural capital. ","First of all, I will just introduce myself. I'm Brazilian, 26 years old and doing an MSc in Economics, Policy of Energy and the Environment at UCL. I'm also a Chevening scholar , a programme created by the UK Government to allow leaders from developing countries doing Masters in the UK with the focus of fostering the growth of their areas after concluding the studies. 

My backgrounds are in Public Administration, in which I have a bachelor, and Business Management, in which I have a specialisation. As a specialist in public policies and governmental management, I have worked for 4 years in my state government. Considering that my career was created to be a generalist expert in public policies, I had the opportunity to work in many areas, such as education, culture, economic development and participatory policies. In addition, I was volunteer in AIESEC (a platform to develop young leadership through exchanges) which helped me to improve my skills as a manager. 

I believe that I have the potential to help the Bridges for Enterprises with my past experience and knowledge. Although my professional background is in the public sector, I had the possibility to work with many companies in the private sector, and a fast experience in the startup programme of my state (SEED-MG). My willingness is to help the companies to foster their development, adding my expertise, and also learning with them new models of business."
2,"Finance, Project Management, Business Partnering, Budgets, Forecasts","Women, Poverty alleviation, Empowering small enterprises, Refugees, Wildlife / Animals, Homelessness, Environment, Elderly, Education, Ethnic groups, Mental and physical disabilities ","Motivation - Help facilitate the empowering of independence and success with the start ups

Experience with Budgets, Forecasts, Business Partnering (enable non-finance people understand their numbers), general accounting

I can impart some advice around Investments and some Financial Modelling.

I have managed a project previously on implementation of finance systems so I can help facilitate that and provide some guidance too. I am keen on driving efficiencies so that less time is spent on getting data analysis and more time is spent on thinking of outcomes and implementing changes."
3,"Analytics, Finance, Cloud ","Platforms, Cloudnative Apps ","10 Years Professional Experience in Finance and Analytics and have built 3 startups (Analytics Platform, Discount App, Crowdfunding). My motivations is mainly to guide others from my experience so they may be able to walk in the right paths."
4,"General strategy consulting, commercial DD","Leisure, consumer, retail, education ",Past consulting team member at BfE
5,"Strategy and business development, particularly in business-to-business (B2B) ",Poverty alleviation and economic growth/improvement,"I am passionate about entrepreneurship, having started my first business at 19 and supported/invested with multiple startups over the last 15 years. My work experience covers business development and commercial leadership roles and I have been running a consulting business since 2005. I have previously mentored social enterprise Founders and am keen to support people who are looking to grow impact-driven businesses."
6,"market positioning, planning, contracting, organisational excellence ","women empowerment, health access and crisis, education  ","Based in London, I've been working at Gilead Sciences, an american biotech company for the past 6 years, covering different positions including EMEA internal Audit manager, Financial Planning manager for Eastern Europe and Middle East and Finance Director for the Eastern and Central European cluster. Before joining Gilead Sciences I've worked in management consulting and operational risk management both in the UK and in Italy for about a decade. As a side activity I've started a small agricultural business in my homeland Sardinia. I really believe in the power of entrepreneurship as a catalyst for social and personal development, and as an agent for change"
7,"Data based decision making, data strategy, data science strategy, analytics, innovation, procurement, business modelling","homelessness, health, water and energy, developing nations, migration",I have worked in the public sector as a statistician on healthcare and social service data. I was then a business improvement consultant utilising data and modelling to drive more efficiency and cost reductions in operations and supply chain. I then joined a procurement consultancy to deliver digital transformations and utilise data for decision making. In my spare time I have mentored very early stage entrepreneurs through innovation processes and worked with start ups to develop data strategies and a roadmap for implementing data science and utilising data to improve their organisation and grow revenues.
8,"Financial modeling / forecasting, funding and borrowing, go to market strategy ","Helping marginalized communities such as PWD, migrant worker, elderly",Finance professional with treasury and audit background; Multiple years in grassroot and social experience (dealing with beneficiaries on the ground);  Enthusiastic about Social Innovation
9,"Putting the customer first, creating a well-rounded proposition with a clear go-to-market and clearly articulating the benefits.","Bullying, domestic abuse, poverty, homelessness, accessibility.","I'm 26 years old working at Telefonica UK matching the hottest tech start-ups with O2, giffgaff and Tesco Mobile. I'm proud to have built and launched 4 products in my time at O2, ranging from a consumer app to save people on calls/texts when abroad to a connectivity solution for large businesses such as McDonald's."
10,"Financial advisory, modelling, social impact assessments, valuations, consulting ","All - particularly education, health, employment, children, empowerment of women, social mobility, discrimination, environment ","I have a background in Economics at the University of Cambridge, followed by an ACA at PwC. At PwC I have worked auditing small and medium sized businesses and in Valuations. Outside my day to day work I have worked with charities with marketing/ social media advice and a private equity foundation for due diligence/ consulting services for some of their portfolio charities. I would like to combine what I have learnt about charities and private businesses (and use my professional network) to help social enterprises succeed and achieve their aims.  "
11,"I am highly technologically adept (for example but not limited to networking, security, platform building, machine learning & analytics), while having experience managing teams and projects in social enterprises and performing consulting work to achieve social impact. This even goes further to the point of developing frameworks and constructs in order to improve the global consulting quality of 180 Degrees Consulting teams. ","Technology, education, social entrepreneurship, ending poverty (took challenges of global poverty course from MITx) by breaking poverty traps and vicious cycles, microfinance","By having a unique background in both technology and business, I understand both sides of the story. I currently work for a global technology giant, which has taught me how to work in international, high-pressured and analytical environments. Before this, I worked in an entrepreneurial environment, with a focus on digital transformation consulting. Therefore, I tend to take a holistic view on all of my work. My main motivation has always been to give back where I can, which has led me to the leadership team of 180 Degrees Consulting, the largest student pro bono consulting organization in the world. We currently have over 110 branches with more than 5000 consultants. Recently, I stepped up to the role of CTO of the organization, which demonstrates both my leadership affinity and passion for social impact, as this is of course all on a voluntary basis. "
12,"Financial Analysis, Presentation Skills, Project Management, Cost Optimisation, Strategy, Pricing","Refugees, Homelessness, Technology, Environment, Finance, Inclusion","Since I'm from Greece, I know how difficult it can be for entrepreneurs that do not have access to proper, financing, government services, infrastructure etc. I would like to help these entrepreneurs bridge that gap with my experience in Financial Services and FinTech Industry. I have worked as a Financial Analysis Manager for Worldpay, which allowed to have an understanding of best practices of big corporations. After that I joined an RBS project from its start, and by working as a consultant in the early stages I have also acquired experience in project delivery, project management, finance and pricing."
13,"Treasury, credit risk, multi tasking, derivatives, project management","Technology, Fashion, Education, Mobility ","Treasury professional with international experience, I would like to share my treasury and finance expertise with start-ups and help the development of SMEs."
14,"Scaling, efficiency, funding, IT Strategy, capability design, marketing","sustainability, healthcare and social","I'm very keen to use my skill set to make a direct impact in social, charitable and philanthropic endeavours - to create a better environment for humanity"
15,Industry analysis/ market sizing; value creation analysis; growth and organisational strategy; commercial due diligence and investment modelling; operating model strategy; public-private partnership models; digital strategy and innovative business models; go-to-market strategy; impact assessment; project/ programme and change management.,"Various: agritech; tech/ telecomms; utilities; transport; health; energy; etc. Improving access to basic goods and services, and improving producer livelihoods. ","I am a Strategy Consultant with Accenture in London, focused on M&A/ growth strategy/ digital innovation across multiple industries. I have also completed a competitive secondment in Accenture's London Innovation Centre where I consulted for 10+ C-Suites/ Boards on engagements related to digital innovation/ transformation strategy, often involving public-private-social partnerships, having led end-to-end projects/ workstreams and managed analysts. My other professional experience includes a private equity summer internship with Apax Partners, where I led an investment proposal on a Chinese education provider and monitored several portfolio companies, and a long-term internship with a cloud-computing start-up in London, where I developed/ owned the analytics platform and supported the executive team with scaling the business and successfully preparing it for an acquisition. I am passionate about social entrepreneurship and shared value. I have acted as a mentor and advisor to 180 Degrees Consulting teams at the University of Cambridge, led a prize-winning team at the Accenture Digital 2017 Social Entrepreneurship Hackathon, target-screened social enterprises as a member of Accenture's panel for the StartUp Health Festival, volunteered for 3+ months with the strategy team of Indian NGO Magic Bus in Delhi to promote children's health/ education and young adults' livelihoods, and most recently supported the CEO of Shared Value Project Hong Kong (pro-bono) to define profit with purpose business models across health/ consumer goods/ insurance/ travel industries and create materials aiding its members in championing Shared Value in the Greater China and SE Asia regions. I hold a BBA from the University of Bath with First Class Honours, where I was an Academic Scholar and Economics prize winner, and an MPhil in Development Studies (with a focus on development economics and international finance) from the University of Cambridge, where I graduated with Distinction and was awarded the Centre of Development Studies prize for ranking first in my programme. I really enjoy mentoring and strongly believe in Bridges for Enterprises mission; it would be a privilege to be involved as a mentor."
16,"I thought I might start with a series of more tangible skills. I have a solid financial background having worked at HSBC for the past six years. In conjunction with my job I have also taken and passed the CFA Level 1 and recently finished the first year of a Part-Time Masters in Finance at London Business School. That Masters programme has involved numerous modules centred around running and optimising businesses that range from accounting modules to corporate finance and investment theory. Outside of finance I also speak fluent German and have an A-Level in French.

To turn now to the less tangible skills. I hope that having spent a large portion of my life abroad I have developed the means of communicating effectively and empathising with others. I am lucky enough to have had the chance to be part of a team and lead one and am both patient and highly motivated.
","I am interested in a wide range of different sectors and social causes. There are certain sectors that I have focused on professionally, including renewable energy businesses and social housing. Those are two areas I spent a lot of time looking at when I was at HSBC in London and have continued to work on out here in New Zealand. Then there are other social causes that I have a personal affinity towards. I have always been drawn towards helping children and that explains the work I have done for Barnardos. My girlfriend is also a doctor and so having been exposed to medicine for the past ten years that is an area that interests me greatly.
","I was lucky enough to spend the first eighteen years of my life living abroad. Mum and dad passed through Hong Kong, Frankfurt and New York before ending up in the UK just as it came time for me to go to university. I did a degree in Modern Languages (German) at Oxford University and it was during my year abroad in Germany that I first got a taste for finance. I spent some time working at both HSBC and The Economist before then applying to join the HSBC graduate programme in 2012. I joined what was the Global Markets programme before ending up in Debt Capital Markets. I have since been focused on helping corporates across a broad range of industries formulate and structure their funding strategies. I was based in London until last September when I was given the chance to move out to New Zealand for twelve months to help build up HSBC's broader debt business here. That has put me into contact with a different set of businesses, some of which are multi-nationals and others of which are start-ups looking to build their presence.

In conjunction with the work I have done at HSBC I have also always tried to do as much socially focused work as possible. That has included charitable work for the likes of Barnardos here in Wellington and the Order of Malta in London. I have also taught English at a school in Slough and had the chance to help HSBC grow its relationship with Sponsors for Educational Opportunities. That has let me see how smaller and less bureaucratic institutions operate and to involve myself in strictly non-financial projects.

I would love to be able to use some of the skills and experiences I am lucky enough to have had to help others and give back in any way possible."
17,"I can help with: financial projections, financial statements and accounting, product management and operations","Improving access to financial services, better financial products, women's empowerment, entrepreneurship and technology, innovative solutions to basic needs eg. water, power, food, internet etc.","I worked in EY for 3.5 years in audit, financial services and qualified as a chartered accountant (ACA). I worked in the FinTech Assurance team on research and business development for FinTech clients. I pioneered the early accounting strategy in the firm for crypto-assets and advised clients globally on crypto accounting matters. I have volunteered with Women Hack for non-Profits, Vestpod and other organisations promoting financial education and technology skills for women and am passionate about diversity in both industries."
18,"Putting the customer first, creating a well-rounded proposition with a clear go-to-market and clearly articulating the benefits.","Bullying, domestic abuse, poverty, homelessness, accessibility.","I'm 26 years old working at Telefonica UK matching the hottest tech start-ups with O2, giffgaff and Tesco Mobile. I'm proud to have built and launched 4 products in my time at O2, ranging from a consumer app to save people on calls/texts when abroad to a connectivity solution for large businesses such as McDonald's."
19,"Consulting, finances, operations","Children, education, employment, financial inclusion","Co-founded a cafe while in school, started work in an education startup for children with learning challenges, worked in industry development in the aviation industry and drones, currently growing the startup ecosystem"
20,"I am highly technologically adept (for example but not limited to networking, security, platform building, machine learning & analytics), while having experience managing teams and projects in social enterprises and performing consulting work to achieve social impact. This even goes further to the point of developing frameworks and constructs in order to improve the global consulting quality of 180 Degrees Consulting teams. ","Technology, education, social entrepreneurship, ending poverty (took challenges of global poverty course from MITx) by breaking poverty traps and vicious cycles, microfinance","By having a unique background in both technology and business, I understand both sides of the story. I currently work for a global technology giant, which has taught me how to work in international, high-pressured and analytical environments. Before this, I worked in an entrepreneurial environment, with a focus on digital transformation consulting. Therefore, I tend to take a holistic view on all of my work. My main motivation has always been to give back where I can, which has led me to the leadership team of 180 Degrees Consulting, the largest student pro bono consulting organization in the world. We currently have over 110 branches with more than 5000 consultants. Recently, I stepped up to the role of CTO of the organization, which demonstrates both my leadership affinity and passion for social impact, as this is of course all on a voluntary basis. "
